H->ZZ->4mu Event list
EventNumber	Mass4l[GeV]	MassErr4l[GeV]	MassZ1[GeV]	MassZ2[GeV]	Mass4lFSR[GeV]	MassErr4lFSR[GeV]	MassZ1FSR[GeV]	MassZ2FSR[GeV]	Mass4lZCont	MassErr4lZCont	MassZ1ZCont	MassZ2ZCont
55704	122.061	1.59431	81.7331	19.089	122.061	1.59431	81.7331	19.089	122.409	1.59333	82.0403	19.089
55722	126.887	1.92251	92.3409	16.329	126.887	1.92251	92.3409	16.329	125.891	1.34913	91.4529	16.329
55735	129.168	2.71664	98.1664	24.0458	129.168	2.71664	98.1664	24.0458	123.568	1.98783	92.5834	24.0458
55759	121.921	2.36687	80.2897	24.397	121.921	2.36687	80.2897	24.397	122.593	2.36231	80.9435	24.397
55782	121.587	2.49243	86.0122	25.7295	121.587	2.49243	86.0122	25.7295	125.855	1.66811	90.2172	25.7295
55786	121.154	2.27893	87.676	27.9699	121.154	2.27893	87.676	27.9699	124.233	1.14099	90.5116	27.9699
55795	125.458	1.45117	90.2927	28.5693	125.458	1.45117	90.2927	28.5693	126.089	1.17259	90.9147	28.5693
55872	125.216	2.43326	90.7221	17.5565	125.216	2.43326	90.7221	17.5565	125.663	1.25187	91.1154	17.5565
55876	126.336	2.04554	93.3417	27.9699	126.336	2.04554	93.3417	27.9699	124.655	1.38342	91.5323	27.9699
55931	123.375	2.46513	90.1517	28.095	123.375	2.46513	90.1517	28.095	124.262	1.724	91.0477	28.095
55983	122.775	1.93329	75.6963	36.4822	122.775	1.93329	75.6963	36.4822	123.123	1.93167	76.0061	36.4822
56022	125.015	4.04133	90.7816	23.4869	125.015	4.04133	90.7816	23.4869	125.413	1.41078	91.1683	23.4869
56056	123.038	1.77609	90.0984	24.4965	123.038	1.77609	90.0984	24.4965	123.907	1.26072	90.9398	24.4965
56077	125.979	2.41173	89.9669	26.1447	125.979	2.41173	89.9669	26.1447	127.006	1.68351	91.0442	26.1447
56125	124.156	2.36088	61.2562	44.2031	124.156	2.36088	61.2562	44.2031	124.334	2.35963	61.4059	44.2031
56127	121.683	1.76632	69.6428	36.3201	121.683	1.76632	69.6428	36.3201	121.835	1.76592	69.8044	36.3201
56142	125.143	1.79608	90.6536	25.4894	125.143	1.79608	90.6536	25.4894	125.553	1.41301	91.0741	25.4894
56143	125.964	2.64227	91.5132	17.706	125.964	2.64227	91.5132	17.706	125.66	1.84765	91.225	17.706
56186	126.098	1.88279	85.9658	30.8981	126.098	1.88279	85.9658	30.8981	127.342	1.47454	87.206	30.8981
56308	125.009	2.35527	92.9856	25.3306	125.009	2.35527	92.9856	25.3306	123.47	1.68569	91.4303	25.3306
56314	124.826	1.89781	90.3528	27.5513	124.826	1.89781	90.3528	27.5513	125.527	1.37931	91.0081	27.5513
56328	120.576	1.73121	81.1035	28.4823	120.576	1.73121	81.1035	28.4823	121.05	1.7311	81.5825	28.4823
56336	124.509	1.63736	87.7647	30.4678	124.509	1.63736	87.7647	30.4678	125.965	1.34109	89.1938	30.4678
57043	124.378	1.47553	69.7081	33.5452	124.378	1.47553	69.7081	33.5452	124.533	1.47536	69.8692	33.5452
57053	125.258	2.42559	92.6449	18.0617	125.258	2.42559	92.6449	18.0617	123.944	1.73954	91.3807	18.0617
57078	123.473	1.82102	73.5857	49.2733	123.473	1.82102	73.5857	49.2733	123.688	1.82052	73.8057	49.2733
57087	124.889	2.29226	91.8064	28.5618	124.889	2.29226	91.8064	28.5618	124.363	1.65364	91.2711	28.5618
57098	123.632	2.35522	90.565	30.0509	123.632	2.35522	90.565	30.0509	124.173	1.23475	91.1067	30.0509
