H->ZZ->2e2mu Event list
EventNumber	Mass4l[GeV]	MassErr4l[GeV]	MassZ1[GeV]	MassZ2[GeV]	Mass4lFSR[GeV]	MassErr4lFSR[GeV]	MassZ1FSR[GeV]	MassZ2FSR[GeV]	Mass4lZCont	MassErr4lZCont	MassZ1ZCont	MassZ2ZCont
30031	121.969	1.89692	85.8339	18.605	121.969	1.89692	85.8339	18.605	123.378	1.40932	87.1857	18.605
30036	125.374	1.38889	79.9038	35.5626	125.374	1.38889	79.9038	35.5626	125.607	1.38883	80.1294	35.5626
30043	126.7	2.68258	93.7756	28.4642	126.7	2.68258	93.7756	28.4642	124.434	1.63771	91.4464	28.4642
30115	125.27	2.08049	91.144	28.7148	125.27	2.08049	91.144	28.7148	125.308	1.39467	91.1803	28.7148
30168	127.474	4.87499	91.9183	28.5283	127.474	4.87499	91.9183	28.5283	126.736	3.32566	91.2132	28.5283
30203	123.627	2.42991	89.5041	12.1439	123.627	2.42991	89.5041	12.1439	124.946	1.3274	91.0277	12.1439
30288	120.641	2.75741	87.9702	13.1224	120.641	2.75741	87.9702	13.1224	123.573	1.85266	90.8176	13.1224
30313	125.201	2.28946	89.1803	27.4617	125.201	2.28946	89.1803	27.4617	126.993	1.54513	90.8363	27.4617
30337	121.524	3.51111	86.5132	25.6794	121.524	3.51111	86.5132	25.6794	126.332	1.96177	90.7903	25.6794
30371	124.018	1.39598	85.8285	30.2915	124.018	1.39598	85.8285	30.2915	124.632	1.16948	86.418	30.2915
30372	124.028	4.12075	91.3327	14.2512	124.028	4.12075	91.3327	14.2512	123.875	1.96682	91.1956	14.2512
30373	124.803	4.98047	94.0787	15.7244	124.803	4.98047	94.0787	15.7244	121.632	2.92294	91.3105	15.7244
30425	123.354	2.94171	92.2433	17.0502	123.354	2.94171	92.2433	17.0502	122.477	1.16262	91.2589	17.0502
30440	124.218	2.18441	82.358	26.5625	124.218	2.18441	82.358	26.5625	125.341	2.1779	83.55	26.5625
30482	125.048	3.01887	91.1256	15.0235	125.048	3.01887	91.1256	15.0235	125.108	2.15394	91.182	15.0235
30489	124.902	2.7564	76.7272	34.3482	124.902	2.7564	76.7272	34.3482	125.874	2.74123	77.7394	34.3482
30492	104.122	3.16025	62.9346	36.3014	104.122	3.16025	62.9346	36.3014	104.731	3.14502	63.5703	36.3014
31083	122.481	1.57332	68.7639	26.4537	122.481	1.57332	68.7639	26.4537	122.604	1.5731	68.876	26.4537
41402	122.285	1.60531	89.1777	20.8463	122.285	1.60531	89.1777	20.8463	123.712	1.26488	90.4992	20.8463
41421	121.473	3.14594	88.074	18.3873	121.473	3.14594	88.074	18.3873	124.522	1.42254	90.9074	18.3873
41431	125.406	1.53353	92.6383	20.5245	125.406	1.53353	92.6383	20.5245	124.439	1.17224	91.6591	20.5245
41439	124.054	2.7516	62.5037	50.5195	124.054	2.7516	62.5037	50.5195	124.333	2.75139	62.7905	50.5195
41461	123.228	2.91074	90.9066	14.8106	123.228	2.91074	90.9066	14.8106	123.511	1.76726	91.1574	14.8106
41465	118.611	2.23782	87.0891	25.3821	118.611	2.23782	87.0891	25.3821	121.976	1.59359	90.3986	25.3821
41475	112.246	2.87329	78.5648	19.8722	112.246	2.87329	78.5648	19.8722	113.483	2.86607	79.7955	19.8722
36320	122.293	1.63755	88.7048	23.1064	122.293	1.63755	88.7048	23.1064	124.018	1.22153	90.3993	23.1064
36344	125.112	1.74279	90.8351	25.5181	125.112	1.74279	90.8351	25.5181	125.394	1.31118	91.1048	25.5181
36385	122.347	1.46511	88.3493	28.5381	122.347	1.46511	88.3493	28.5381	123.861	1.21537	89.8394	28.5381
24614	107.249	6.00784	79.9256	12.0229	107.249	6.00784	79.9256	12.0229	119.392	5.59714	90.8779	12.0229
24630	124.092	2.28006	92.3288	16.5237	124.092	2.28006	92.3288	16.5237	123.101	1.73416	91.373	16.5237
24662	125.345	5.80209	89.0723	21.7156	125.345	5.80209	89.0723	21.7156	127.826	1.92077	91.1189	21.7156
24691	126.739	2.45194	93.3729	17.7127	126.739	2.45194	93.3729	17.7127	124.69	1.62093	91.5209	17.7127
17104	122.391	2.33503	88.1193	31.7713	122.391	2.33503	88.1193	31.7713	125.024	1.73821	90.7427	31.7713
17116	124.817	2.04368	91.544	27.784	124.817	2.04368	91.544	27.784	124.512	1.43683	91.2526	27.784
17182	125.822	1.67926	89.3338	27.913	125.822	1.67926	89.3338	27.913	127.204	1.31711	90.6963	27.913
9410	122.453	2.51945	87.8502	29.8732	122.453	2.51945	87.8502	29.8732	125.318	1.27165	90.7955	29.8732
9430	125.754	1.76186	55.3466	45.5318	125.754	1.76186	55.3466	45.5318	125.858	1.76168	55.4362	45.5318
9438	124.401	1.15221	90.3706	25.4839	124.401	1.15221	90.3706	25.4839	124.85	0.88917	90.8343	25.4839
9450	123.737	3.20566	91.7336	23.2964	123.737	3.20566	91.7336	23.2964	123.235	2.09506	91.2272	23.2964
9461	121.744	2.55464	90.8884	20.6932	121.744	2.55464	90.8884	20.6932	122.025	1.7387	91.1495	20.6932
9480	122.654	5.59851	88.7408	33.293	122.654	5.59851	88.7408	33.293	125.156	1.90127	91.1203	33.293
9485	129.015	4.0331	95.6055	18.0671	129.015	4.0331	95.6055	18.0671	124.486	1.36865	91.4416	18.0671
25513	101.53	1.43919	70.7136	27.1119	101.53	1.43919	70.7136	27.1119	101.687	1.43911	70.8672	27.1119
25526	120.934	2.4167	58.5713	42.9133	120.934	2.4167	58.5713	42.9133	121.11	2.4164	58.7344	42.9133
25528	126.42	1.55936	92.6756	25.9222	126.42	1.55936	92.6756	25.9222	125.334	1.22725	91.608	25.9222
25542	123.815	2.18064	90.6572	22.3771	123.815	2.18064	90.6572	22.3771	124.28	1.56032	91.1014	22.3771
25552	124.998	1.25644	82.6881	23.1757	124.998	1.25644	82.6881	23.1757	125.287	1.25633	82.9856	23.1757
25555	126.66	1.51552	92.7383	29.1894	126.66	1.51552	92.7383	29.1894	125.555	1.22586	91.6954	29.1894
25562	122.075	2.01399	68.7442	40.9776	122.075	2.01399	68.7442	40.9776	122.324	2.0132	68.9687	40.9776
2701	126.58	2.24083	61.8318	52.1983	126.58	2.24083	61.8318	52.1983	126.715	2.24061	61.9786	52.1983
2722	123.645	2.72081	81.0636	17.5665	123.645	2.72081	81.0636	17.5665	124.963	2.7201	82.481	17.5665
66504	116.133	2.2149	84.8539	25.4643	116.133	2.2149	84.8539	25.4643	118.198	1.63314	87.0707	25.4643
66587	126.737	1.7563	90.5634	31.2258	126.737	1.7563	90.5634	31.2258	127.195	1.13043	91.0487	31.2258
66598	121.286	1.68455	81.719	23.7589	121.286	1.68455	81.719	23.7589	121.756	1.68182	82.1687	23.7589
76513	125.124	2.53709	55.2387	37.0935	125.124	2.53709	55.2387	37.0935	125.224	2.53707	55.3285	37.0935
76520	123.454	3.20287	88.7162	23.6409	123.454	3.20287	88.7162	23.6409	125.886	1.51956	90.9714	23.6409
76537	118.452	1.57431	76.8286	28.7402	118.452	1.57431	76.8286	28.7402	118.72	1.5738	77.0799	28.7402
76543	125.711	1.47083	91.209	13.7593	125.711	1.47083	91.209	13.7593	125.697	0.957616	91.1928	13.7593
76544	123.816	1.56391	89.7521	15.685	123.816	1.56391	89.7521	15.685	124.848	1.17907	90.6995	15.685
32621	123.158	2.40232	84.9729	18.5272	123.158	2.40232	84.9729	18.5272	125.309	1.77014	87.0548	18.5272
39602	123.729	1.93746	87.701	33.6928	123.729	1.93746	87.701	33.6928	126.34	1.43723	90.3247	33.6928
39621	124.338	2.50454	92.7535	18.6112	124.338	2.50454	92.7535	18.6112	122.935	1.82653	91.3794	18.6112
39632	125.47	2.25592	68.5001	55.8214	125.47	2.25592	68.5001	55.8214	125.75	2.25477	68.7837	55.8214
39639	121.588	2.58695	88.1464	28.9924	121.588	2.58695	88.1464	28.9924	124.301	1.57615	90.8227	28.9924
21672	116.134	2.24565	90.6272	21.8065	116.134	2.24565	90.6272	21.8065	116.615	1.33384	91.1105	21.8065
21687	122.187	2.12229	86.9023	20.8116	122.187	2.12229	86.9023	20.8116	125.255	1.52952	89.9449	20.8116
21704	124.83	1.78702	75.254	48.5741	124.83	1.78702	75.254	48.5741	125.103	1.78699	75.5328	48.5741
21730	126.205	3.39358	74.4964	48.672	126.205	3.39358	74.4964	48.672	127.378	3.38627	75.7065	48.672
21761	120.555	2.15975	60.805	50.7466	120.555	2.15975	60.805	50.7466	120.719	2.15959	60.9569	50.7466
21785	124.235	2.21011	87.1987	27.9588	124.235	2.21011	87.1987	27.9588	127.537	1.4674	90.32	27.9588
21800	124.369	2.50797	90.451	22.2021	124.369	2.50797	90.451	22.2021	125.071	1.40703	91.0882	22.2021
16938	116.753	2.38073	84.7734	23.4492	116.753	2.38073	84.7734	23.4492	119.094	1.21232	87.0825	23.4492
16980	103.942	1.47392	72.6706	29.1063	103.942	1.47392	72.6706	29.1063	104.159	1.47327	72.9021	29.1063
18012	124.553	1.76981	88.8687	28.7744	124.553	1.76981	88.8687	28.7744	126.27	1.20899	90.5325	28.7744
18045	125.473	1.92962	91.661	32.8065	125.473	1.92962	91.661	32.8065	125.081	1.32455	91.2752	32.8065
18089	121.041	2.42774	87.1334	32.2361	121.041	2.42774	87.1334	32.2361	124.434	1.53884	90.6302	32.2361
18123	125.79	2.11639	95.677	19.4532	125.79	2.11639	95.677	19.4532	122.851	1.36031	92.9385	19.4532
18154	107.921	2.19156	73.799	23.4345	107.921	2.19156	73.799	23.4345	108.431	2.18981	74.3207	23.4345
18162	124.919	2.15727	94.5261	27.0712	124.919	2.15727	94.5261	27.0712	122.314	1.44407	91.7802	27.0712
18190	118.086	1.87466	84.7457	31.2028	118.086	1.87466	84.7457	31.2028	119.245	1.37696	85.9214	31.2028
18192	123.619	1.55324	91.599	15.8716	123.619	1.55324	91.599	15.8716	123.313	1.20667	91.3007	15.8716
40	127.332	1.86098	87.9248	32.2566	127.332	1.86098	87.9248	32.2566	129.674	1.38207	90.3637	32.2566
49	125.677	3.08668	70.1404	47.5424	125.677	3.08668	70.1404	47.5424	126.55	3.0722	71.1401	47.5424
55	121.995	1.9242	84.7076	21.5828	121.995	1.9242	84.7076	21.5828	122.931	1.34321	85.55	21.5828
59	125.03	1.52013	74.9013	16.2333	125.03	1.52013	74.9013	16.2333	125.205	1.52009	75.1049	16.2333
72	117.35	3.82433	83.1867	30.1107	117.35	3.82433	83.1867	30.1107	125.402	2.07519	90.5675	30.1107
76365	117.375	2.73216	78.9248	32.6506	117.375	2.73216	78.9248	32.6506	118.551	2.72443	80.1204	32.6506
63962	119.502	3.68661	85.1924	16.6381	119.502	3.68661	85.1924	16.6381	124.767	1.72414	90.8878	16.6381
63963	124.593	2.72442	89.313	27.5143	124.593	2.72442	89.313	27.5143	126.432	1.50673	90.9533	27.5143
63984	124.253	2.43229	92.0181	18.635	124.253	2.43229	92.0181	18.635	123.549	1.71567	91.281	18.635
69655	123.079	1.63074	90.7096	24.565	123.079	1.63074	90.7096	24.565	123.445	1.25167	91.0693	24.565
69657	119.386	2.59866	72.7822	30.7684	119.386	2.59866	72.7822	30.7684	119.588	2.59969	72.9662	30.7684
69679	125.005	2.53964	93.6391	19.0714	125.005	2.53964	93.6391	19.0714	122.948	1.06033	91.4511	19.0714
95208	120.792	3.5376	85.7926	24.0243	120.792	3.5376	85.7926	24.0243	126.417	1.99303	90.6886	24.0243
95235	124.303	1.7425	90.5932	29.9987	124.303	1.7425	90.5932	29.9987	124.755	1.16299	91.0643	29.9987
95246	127.605	1.76837	90.6521	33.6547	127.605	1.76837	90.6521	33.6547	128.019	1.4328	91.0671	33.6547
64417	127.27	1.52944	93.2633	32.0355	127.27	1.52944	93.2633	32.0355	125.846	1.2484	91.7999	32.0355
64431	120.725	2.59137	94.9037	22.1024	120.725	2.59137	94.9037	22.1024	117.356	1.36816	91.6614	22.1024
