H->ZZ->2e2mu+2mu2e Event list
EventNumber	Mass4l[GeV]	MassErr4l[GeV]	MassZ1[GeV]	MassZ2[GeV]	Mass4lFSR[GeV]	MassErr4lFSR[GeV]	MassZ1FSR[GeV]	MassZ2FSR[GeV]	Mass4lZCont	MassErr4lZCont	MassZ1ZCont	MassZ2ZCont
30028	126.328	2.24014	69.5955	51.5425	126.328	2.24014	69.5955	51.5425	126.537	2.24007	69.8114	51.5425
30031	121.969	1.89692	85.8339	18.605	121.969	1.89692	85.8339	18.605	123.378	1.40932	87.1857	18.605
30036	125.374	1.38889	79.9038	35.5626	125.374	1.38889	79.9038	35.5626	125.607	1.38883	80.1294	35.5626
30038	122.76	3.05708	63.1136	31.3524	122.76	3.05708	63.1136	31.3524	122.844	3.05766	63.1838	31.3524
30043	126.7	2.68258	93.7756	28.4642	126.7	2.68258	93.7756	28.4642	124.434	1.63771	91.4464	28.4642
30061	124.972	1.64256	89.4622	32.9251	124.972	1.64256	89.4622	32.9251	126.174	1.3466	90.6743	32.9251
30115	125.27	2.08049	91.144	28.7148	125.27	2.08049	91.144	28.7148	125.308	1.39467	91.1803	28.7148
30158	124.684	2.44368	94.1406	19.8182	124.684	2.44368	94.1406	19.8182	122.019	1.69405	91.7487	19.8182
30168	127.474	4.87499	91.9183	28.5283	127.474	4.87499	91.9183	28.5283	126.736	3.32566	91.2132	28.5283
30201	124.291	1.99534	91.1738	15.5422	124.291	1.99534	91.1738	15.5422	124.303	1.44832	91.1847	15.5422
30203	123.627	2.42991	89.5041	12.1439	123.627	2.42991	89.5041	12.1439	124.946	1.3274	91.0277	12.1439
30214	115.088	2.27555	77.9644	35.4436	115.088	2.27555	77.9644	35.4436	115.321	2.27567	78.1958	35.4436
30236	123.302	2.08803	87.004	20.4108	123.302	2.08803	87.004	20.4108	126	1.53236	89.5456	20.4108
30242	124.005	2.10967	92.0103	30.0913	124.005	2.10967	92.0103	30.0913	123.309	1.59851	91.3336	30.0913
30288	120.641	2.75741	87.9702	13.1224	120.641	2.75741	87.9702	13.1224	123.573	1.85266	90.8176	13.1224
30313	125.201	2.28946	89.1803	27.4617	125.201	2.28946	89.1803	27.4617	126.993	1.54513	90.8363	27.4617
30315	118.867	3.33237	53.4074	13.8449	118.867	3.33237	53.4074	13.8449	118.867	3.33237	53.4074	13.8449
30337	121.524	3.51111	86.5132	25.6794	121.524	3.51111	86.5132	25.6794	126.332	1.96177	90.7903	25.6794
30371	124.018	1.39598	85.8285	30.2915	124.018	1.39598	85.8285	30.2915	124.632	1.16948	86.418	30.2915
30372	124.028	4.12075	91.3327	14.2512	124.028	4.12075	91.3327	14.2512	123.875	1.96682	91.1956	14.2512
30373	124.803	4.98047	94.0787	15.7244	124.803	4.98047	94.0787	15.7244	121.632	2.92294	91.3105	15.7244
30378	110.695	1.73518	73.4431	15.9869	122.93	2.0313	85.8462	15.9869	124.507	1.57412	87.2884	15.9869
30425	123.354	2.94171	92.2433	17.0502	123.354	2.94171	92.2433	17.0502	122.477	1.16262	91.2589	17.0502
30427	123.586	2.24633	85.2676	34.9066	123.586	2.24633	85.2676	34.9066	124.11	2.10342	85.7856	34.9066
30434	126.197	2.01149	91.9924	27.249	126.197	2.01149	91.9924	27.249	125.545	1.61698	91.3526	27.249
30438	119.709	2.86692	88.5742	25.6978	119.709	2.86692	88.5742	25.6978	121.48	2.70133	90.3186	25.6978
30440	124.218	2.18441	82.358	26.5625	124.218	2.18441	82.358	26.5625	125.341	2.1779	83.55	26.5625
30469	120.887	2.12246	91.2393	21.3047	120.887	2.12246	91.2393	21.3047	120.845	1.78444	91.1987	21.3047
30482	125.048	3.01887	91.1256	15.0235	125.048	3.01887	91.1256	15.0235	125.108	2.15394	91.182	15.0235
30488	127.371	1.51313	80.5567	33.5296	127.371	1.51313	80.5567	33.5296	127.612	1.51302	80.7959	33.5296
30489	124.902	2.7564	76.7272	34.3482	124.902	2.7564	76.7272	34.3482	125.874	2.74123	77.7394	34.3482
30492	104.122	3.16025	62.9346	36.3014	104.122	3.16025	62.9346	36.3014	104.731	3.14502	63.5703	36.3014
30495	125.843	3.17488	65.9184	36.9948	125.843	3.17488	65.9184	36.9948	125.999	3.17487	66.0447	36.9948
31013	124.4	1.86922	90.1171	24.5695	124.4	1.86922	90.1171	24.5695	125.231	1.41678	90.92	24.5695
31021	121.956	1.53363	84.7625	23.1604	121.956	1.53363	84.7625	23.1604	122.498	1.18396	85.2765	23.1604
31038	123.752	2.82113	90.7571	29.8436	123.752	2.82113	90.7571	29.8436	124.122	2.28552	91.1359	29.8436
31042	123.716	1.44844	88.2629	15.1946	123.716	1.44844	88.2629	15.1946	124.788	1.23762	89.2939	15.1946
31056	131.152	7.28795	100.025	27.0085	131.152	7.28795	100.025	27.0085	131.152	7.28795	100.025	27.0085
31083	122.481	1.57332	68.7639	26.4537	122.481	1.57332	68.7639	26.4537	122.604	1.5731	68.876	26.4537
31087	123.118	1.98586	87.1093	19.8095	123.118	1.98586	87.1093	19.8095	125.567	1.50746	89.4238	19.8095
31092	117.848	1.84403	71.556	35.9376	117.848	1.84403	71.556	35.9376	117.992	1.84399	71.7033	35.9376
41402	122.285	1.60531	89.1777	20.8463	122.285	1.60531	89.1777	20.8463	123.712	1.26488	90.4992	20.8463
41421	121.473	3.14594	88.074	18.3873	121.473	3.14594	88.074	18.3873	124.522	1.42254	90.9074	18.3873
41431	125.406	1.53353	92.6383	20.5245	125.406	1.53353	92.6383	20.5245	124.439	1.17224	91.6591	20.5245
41439	124.054	2.7516	62.5037	50.5195	124.054	2.7516	62.5037	50.5195	124.333	2.75139	62.7905	50.5195
41461	123.228	2.91074	90.9066	14.8106	123.228	2.91074	90.9066	14.8106	123.511	1.76726	91.1574	14.8106
41465	118.611	2.23782	87.0891	25.3821	118.611	2.23782	87.0891	25.3821	121.976	1.59359	90.3986	25.3821
41471	126.999	1.98371	92.2708	24.2243	126.999	1.98371	92.2708	24.2243	126.16	1.56883	91.4286	24.2243
41475	112.246	2.87329	78.5648	19.8722	112.246	2.87329	78.5648	19.8722	113.483	2.86607	79.7955	19.8722
41491	122.183	2.23279	94.8635	21.3608	122.183	2.23279	94.8635	21.3608	119.149	1.7043	91.886	21.3608
41498	117.871	1.5053	82.5648	33.1793	117.871	1.5053	82.5648	33.1793	118.223	1.50504	82.9097	33.1793
36315	121.58	3.70178	54.9855	51.1762	121.58	3.70178	54.9855	51.1762	121.58	3.70178	54.9855	51.1762
36320	122.293	1.63755	88.7048	23.1064	122.293	1.63755	88.7048	23.1064	124.018	1.22153	90.3993	23.1064
36344	125.112	1.74279	90.8351	25.5181	125.112	1.74279	90.8351	25.5181	125.394	1.31118	91.1048	25.5181
36385	122.347	1.46511	88.3493	28.5381	122.347	1.46511	88.3493	28.5381	123.861	1.21537	89.8394	28.5381
