H->ZZ->2mu2e Event list
EventNumber	Mass4l[GeV]	MassErr4l[GeV]	MassZ1[GeV]	MassZ2[GeV]	Mass4lFSR[GeV]	MassErr4lFSR[GeV]	MassZ1FSR[GeV]	MassZ2FSR[GeV]	Mass4lZCont	MassErr4lZCont	MassZ1ZCont	MassZ2ZCont
30028	126.328	2.24014	69.5955	51.5425	126.328	2.24014	69.5955	51.5425	126.537	2.24007	69.8114	51.5425
30038	122.76	3.05708	63.1136	31.3524	122.76	3.05708	63.1136	31.3524	122.844	3.05766	63.1838	31.3524
30061	124.972	1.64256	89.4622	32.9251	124.972	1.64256	89.4622	32.9251	126.174	1.3466	90.6743	32.9251
30158	124.684	2.44368	94.1406	19.8182	124.684	2.44368	94.1406	19.8182	122.019	1.69405	91.7487	19.8182
30201	124.291	1.99534	91.1738	15.5422	124.291	1.99534	91.1738	15.5422	124.303	1.44832	91.1847	15.5422
30214	115.088	2.27555	77.9644	35.4436	115.088	2.27555	77.9644	35.4436	115.321	2.27567	78.1958	35.4436
30236	123.302	2.08803	87.004	20.4108	123.302	2.08803	87.004	20.4108	126	1.53236	89.5456	20.4108
30242	124.005	2.10967	92.0103	30.0913	124.005	2.10967	92.0103	30.0913	123.309	1.59851	91.3336	30.0913
30315	118.867	3.33237	53.4074	13.8449	118.867	3.33237	53.4074	13.8449	118.867	3.33237	53.4074	13.8449
30378	110.695	1.73518	73.4431	15.9869	122.93	2.0313	85.8462	15.9869	124.507	1.57412	87.2884	15.9869
30427	123.586	2.24633	85.2676	34.9066	123.586	2.24633	85.2676	34.9066	124.11	2.10342	85.7856	34.9066
30434	126.197	2.01149	91.9924	27.249	126.197	2.01149	91.9924	27.249	125.545	1.61698	91.3526	27.249
30438	119.709	2.86692	88.5742	25.6978	119.709	2.86692	88.5742	25.6978	121.48	2.70133	90.3186	25.6978
30469	120.887	2.12246	91.2393	21.3047	120.887	2.12246	91.2393	21.3047	120.845	1.78444	91.1987	21.3047
30488	127.371	1.51313	80.5567	33.5296	127.371	1.51313	80.5567	33.5296	127.612	1.51302	80.7959	33.5296
30495	125.843	3.17488	65.9184	36.9948	125.843	3.17488	65.9184	36.9948	125.999	3.17487	66.0447	36.9948
31013	124.4	1.86922	90.1171	24.5695	124.4	1.86922	90.1171	24.5695	125.231	1.41678	90.92	24.5695
31021	121.956	1.53363	84.7625	23.1604	121.956	1.53363	84.7625	23.1604	122.498	1.18396	85.2765	23.1604
31038	123.752	2.82113	90.7571	29.8436	123.752	2.82113	90.7571	29.8436	124.122	2.28552	91.1359	29.8436
31042	123.716	1.44844	88.2629	15.1946	123.716	1.44844	88.2629	15.1946	124.788	1.23762	89.2939	15.1946
31056	131.152	7.28795	100.025	27.0085	131.152	7.28795	100.025	27.0085	131.152	7.28795	100.025	27.0085
31087	123.118	1.98586	87.1093	19.8095	123.118	1.98586	87.1093	19.8095	125.567	1.50746	89.4238	19.8095
31092	117.848	1.84403	71.556	35.9376	117.848	1.84403	71.556	35.9376	117.992	1.84399	71.7033	35.9376
41471	126.999	1.98371	92.2708	24.2243	126.999	1.98371	92.2708	24.2243	126.16	1.56883	91.4286	24.2243
41491	122.183	2.23279	94.8635	21.3608	122.183	2.23279	94.8635	21.3608	119.149	1.7043	91.886	21.3608
41498	117.871	1.5053	82.5648	33.1793	117.871	1.5053	82.5648	33.1793	118.223	1.50504	82.9097	33.1793
36315	121.58	3.70178	54.9855	51.1762	121.58	3.70178	54.9855	51.1762	121.58	3.70178	54.9855	51.1762
24631	119.296	2.72171	90.0168	23.9303	119.296	2.72171	90.0168	23.9303	120.264	2.27233	91.0237	23.9303
24642	124.937	2.37331	80.796	43.546	124.937	2.37331	80.796	43.546	125.591	2.37276	81.4455	43.546
24681	123.988	1.65973	86.737	36.9454	123.988	1.65973	86.737	36.9454	125.012	1.37017	87.7718	36.9454
24683	124.482	2.99658	92.1426	21.0446	124.482	2.99658	92.1426	21.0446	123.717	2.72191	91.4025	21.0446
24690	128.303	1.63699	73.8825	52.8142	128.303	1.63699	73.8825	52.8142	128.474	1.63694	74.0555	52.8142
24699	123.257	2.38738	90.2303	32.3289	123.257	2.38738	90.2303	32.3289	124.012	2.02695	90.9722	32.3289
17111	126.703	3.66466	85.2627	37.0078	126.703	3.66466	85.2627	37.0078	132.524	2.36552	90.5803	37.0078
17117	127.538	3.00845	74.0594	38.7593	127.538	3.00845	74.0594	38.7593	127.743	3.00597	74.2307	38.7593
17158	126.793	1.92977	93.193	13.3788	126.793	1.92977	93.193	13.3788	125.178	1.4512	91.6488	13.3788
17168	124.396	1.91256	91.4032	17.107	124.396	1.91256	91.4032	17.107	124.216	1.40531	91.234	17.107
17185	132.197	2.99635	91.5226	21.0076	132.197	2.99635	91.5226	21.0076	131.88	2.41996	91.2328	21.0076
17193	125.236	3.25112	71.1994	34.8257	125.236	3.25112	71.1994	34.8257	125.587	3.24814	71.4493	34.8257
9478	126.689	3.13796	91.9961	14.5915	126.689	3.13796	91.9961	14.5915	126.038	2.87104	91.3756	14.5915
9481	123.103	2.22418	89.491	24.5441	123.103	2.22418	89.491	24.5441	124.287	2.04136	90.6702	24.5441
25509	128.876	2.4408	66.1244	41.3322	128.876	2.4408	66.1244	41.3322	128.948	2.44116	66.187	41.3322
25537	125.154	2.71009	84.0136	40.5127	125.154	2.71009	84.0136	40.5127	125.789	2.49307	84.6413	40.5127
25561	119.706	2.53958	87.929	21.2178	119.706	2.53958	87.929	21.2178	121.503	2.33755	89.6886	21.2178
25567	126.327	1.84481	88.8761	31.3567	126.327	1.84481	88.8761	31.3567	127.987	1.5028	90.4884	31.3567
2780	125.78	2.44559	87.5357	26.5107	125.78	2.44559	87.5357	26.5107	128.435	2.03217	90.2655	26.5107
66579	127.763	3.2406	91.4833	25.3007	127.763	3.2406	91.4833	25.3007	127.531	2.99864	91.2571	25.3007
76529	122.335	1.95152	84.5498	26.1498	122.335	1.95152	84.5498	26.1498	123.105	1.64487	85.2966	26.1498
