H->ZZ->4e Event list
EventNumber	Mass4l[GeV]	MassErr4l[GeV]	MassZ1[GeV]	MassZ2[GeV]	Mass4lFSR[GeV]	MassErr4lFSR[GeV]	MassZ1FSR[GeV]	MassZ2FSR[GeV]	Mass4lZCont	MassErr4lZCont	MassZ1ZCont	MassZ2ZCont
30029	125.8	2.01612	93.075	20.6209	125.8	2.01612	93.075	20.6209	124.227	1.4885	91.5698	20.6209
30033	118.9	3.25997	82.0377	17.7525	118.9	3.25997	82.0377	17.7525	121.494	3.24069	84.4624	17.7525
30072	123.1	1.58582	88.7209	25.6371	123.1	1.58582	88.7209	25.6371	124.573	1.12554	90.0714	25.6371
30205	127.389	3.23487	80.9939	32.2986	127.389	3.23487	80.9939	32.2986	129.164	3.22167	82.7269	32.2986
30247	125.022	1.80728	88.9318	32.168	125.022	1.80728	88.9318	32.168	126.384	1.55783	90.3191	32.168
30254	129.07	3.65724	95.4406	18.4183	129.07	3.65724	95.4406	18.4183	124.883	2.66269	91.5278	18.4183
30307	120.214	3.75562	68.0808	40.3591	120.214	3.75562	68.0808	40.3591	120.991	3.73647	68.6585	40.3591
30332	125.642	2.42744	68.8329	23.4015	125.642	2.42744	68.8329	23.4015	125.912	2.42622	69.0565	23.4015
30334	115.766	2.86422	85.0726	27.4642	115.766	2.86422	85.0726	27.4642	117.735	2.29617	86.9836	27.4642
30433	124.139	2.01761	89.6875	19.4133	124.139	2.01761	89.6875	19.4133	125.321	1.39816	90.8988	19.4133
30466	125.091	2.5098	57.3988	55.9982	125.091	2.5098	57.3988	55.9982	125.199	2.50923	57.4833	55.9982
31032	123.178	1.66164	92.7727	28.1206	123.178	1.66164	92.7727	28.1206	122.008	1.32899	91.6077	28.1206
31089	123.14	2.65287	60.0967	52.2757	123.14	2.65287	60.0967	52.2757	123.328	2.65253	60.3299	52.2757
41486	123.944	1.89361	87.5017	30.0055	123.944	1.89361	87.5017	30.0055	125.302	1.48071	88.9208	30.0055
41500	122.432	1.80608	90.1586	31.4516	122.432	1.80608	90.1586	31.4516	123.229	1.33108	90.9509	31.4516
36341	122.952	2.69662	89.4153	16.3921	122.952	2.69662	89.4153	16.3921	124.495	1.97702	91.0104	16.3921
36351	129.138	3.93223	95.4854	31.1987	129.138	3.93223	95.4854	31.1987	125.294	2.12101	91.3917	31.1987
24609	124.912	1.55334	91.752	27.0919	124.912	1.55334	91.752	27.0919	124.52	1.19735	91.3329	27.0919
24633	121.855	2.10421	91.4721	27.2201	121.855	2.10421	91.4721	27.2201	121.604	1.29016	91.2395	27.2201
24640	118.328	6.04708	79.7172	25.8347	118.328	6.04708	79.7172	25.8347	130.395	5.63177	90.9008	25.8347
24641	121.597	2.31602	69.9644	39.8271	121.597	2.31602	69.9644	39.8271	121.846	2.31633	70.2297	39.8271
24647	124.942	1.64538	91.6619	30.3949	124.942	1.64538	91.6619	30.3949	124.685	1.48866	91.3939	30.3949
24668	125.194	2.89283	92.0554	31.6484	125.194	2.89283	92.0554	31.6484	124.407	2.13275	91.3004	31.6484
9417	120.917	1.84333	87.3843	14.4672	120.917	1.84333	87.3843	14.4672	122.684	1.46796	89.0863	14.4672
9439	124.543	1.39516	89.8864	26.5784	124.543	1.39516	89.8864	26.5784	125.27	1.17008	90.5793	26.5784
